                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 2.5731,                 5.5455,                 4.2247,                      0,                      0,                      0,                      0,                 3.3735,                 5.3185,                 4.1562,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                 3.3688,                 5.6623,                 4.2246,                      0,                      0,                      0,                      0,                 3.3735,                 5.3185,                 4.1562,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 2.9647,                 5.3338,                  4.192,                      0,                      0,                      0,                      0,                 3.3739,                  5.319,                 4.1571,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 3.1761,                 5.3239,                 4.2815,                      0,                      0,                      0,                      0,                 3.3739,                  5.319,                 4.1571,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 3.2314,                 5.4291,                 4.2371,                      0,                      0,                      0,                      0,                 3.3739,                  5.319,                 4.1571,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 2.9414,                 5.3684,                 4.1842,                      0,                      0,                      0,                      0,                 3.3739,                  5.319,                 4.1571,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 3.5104,                 5.4514,                 4.1814,                      0,                      0,                      0,                      0,                  3.373,                 5.3207,                 4.1582,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 2.8841,                 5.5016,                 4.1715,                      0,                      0,                      0,                      0,                  3.373,                 5.3207,                 4.1582,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                  2.944,                 5.6104,                 4.3378,                      0,                      0,                      0,                      0,                  3.373,                 5.3207,                 4.1582,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 2.8201,                 5.4065,                 4.2112,                      0,                      0,                      0,                      0,                  3.373,                 5.3207,                 4.1582,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 2.9325,                 5.4746,                 4.2532,                      0,                      0,                      0,                      0,                 3.3719,                 5.3178,                  4.159,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                 3.1396,                 5.6016,                 4.1822,                      0,                      0,                      0,                      0,                 3.3719,                 5.3178,                  4.159,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 2.6992,                 5.5526,                  4.275,                      0,                      0,                      0,                      0,                 3.3719,                 5.3178,                  4.159,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                 2.6936,                 5.7372,                 4.2219,                      0,                      0,                      0,                      0,                 3.3719,                 5.3178,                  4.159,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 2.5708,                 5.3344,                 4.2077,                      0,                      0,                      0,                      0,                 3.3725,                 5.3187,                 4.1598,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 2.7607,                 5.5324,                 4.3368,                      0,                      0,                      0,                      0,                 3.3725,                 5.3187,                 4.1598,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                 2.9676,                 5.5058,                 4.2603,                      0,                      0,                      0,                      0,                 3.3725,                 5.3187,                 4.1598,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                 2.8581,                  5.613,                    4.2,                      0,                      0,                      0,                      0,                 3.3725,                 5.3187,                 4.1598,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                 2.9286,                 5.4867,                 4.2144,                      0,                      0,                      0,                      0,                 3.3725,                 5.3164,                  4.161,             2.3444e-06,             2.3444e-06,             2.3444e-06
